# Kim, K. U., Elliott, G. S., and Dutton, J. C., “A Three-Dimensional Experimental Study of Compressibility Effects on Turbulent Free Shear Layers,” AIAA Aviation Conference, Atlanta, GA, 2018.
# This work was funded by the NASA Aeronautics Mission Directorate's Transformative Aeronautics Concepts Program, Transformational Tools and Technologies Project; Grant Number NNX15AU94A.
VARIABLES = "z (mm)", "y (mm)", "U (m/s)", "V (m/s)", "W (m/s)", "|V| (m/s)"
ZONE T="Frame 0", I=249, J=124, F=POINT
33.8221795335 28.1744303480 501.0606916111 20.0439880381 5.5680048633 501.4923536929
33.4659391269 28.1744303480 501.2332039610 20.1462243083 5.4523480239 501.6675425078
33.1096987203 28.1744303480 501.3534920737 20.1154647669 5.3887183619 501.7858051230
32.7534583136 28.1744303480 501.4412024275 19.9952285941 5.3630510140 501.8683602048
32.3972179070 28.1744303480 501.5004370188 19.8067582927 5.3537555948 501.9199724091
32.0409775004 28.1744303480 501.5110220096 19.5932528052 5.2934393681 501.9215289793
31.6847370937 28.1744303480 501.4761428078 19.3682148554 5.2035475680 501.8770033179
31.3284966871 28.1744303480 501.4319179805 19.1845105852 5.2112832792 501.8258376064
30.9722562805 28.1744303480 501.4105906394 19.0591253866 5.3363009691 501.8010629462
30.6160158738 28.1744303480 501.4000080049 19.0129873934 5.5177963155 501.7907011824
30.2597754672 28.1744303480 501.4062872390 19.0103665837 5.7539806788 501.7995289098
29.9035350606 28.1744303480 501.4579061359 19.0437807317 6.0382491151 501.8557139887
29.5472946540 28.1744303480 501.5101432133 19.1628506771 6.2520760143 501.9150595931
29.1910542473 28.1744303480 501.5928957992 19.4339233720 6.3127714460 502.0089257943
28.8348138407 28.1744303480 501.7579051698 19.8396562447 6.1036926181 502.1870791089
28.4785734341 28.1744303480 502.0871888113 20.3356390132 5.7382957169 502.5316024095
28.1223330274 28.1744303480 502.5240624067 20.8921403351 5.3255890980 502.9863583884
27.7660926208 28.1744303480 503.0063520713 21.4462401813 4.9114172522 503.4872922541
27.4098522142 28.1744303480 503.4212949346 22.0171933945 4.4366512670 503.9220583315
27.0536118075 28.1744303480 503.7490289430 22.5675487853 3.9035473401 504.2693884235
26.6973714009 28.1744303480 503.9830372571 23.0646751687 3.3062412438 504.5213695322
26.3411309943 28.1744303480 504.1315040393 23.4763389697 2.5970883861 504.6845120711
25.9848905876 28.1744303480 504.2075442117 23.7464767798 1.7520538470 504.7694646986
25.6286501810 28.1744303480 504.1733407144 23.9309415599 0.8299452570 504.7416529871
25.2724097744 28.1744303480 504.0898575083 24.0310841214 0.0182143548 504.6623403610
24.9161693677 28.1744303480 503.9748023046 24.0868670026 -0.6647869153 504.5505132904
24.5599289611 28.1744303480 503.8770398729 24.1080081083 -1.2489000861 504.4549802683
24.2036885545 28.1744303480 503.8580782331 24.1210096701 -1.7248866124 504.4380649218
23.8474481478 28.1744303480 503.8319594363 24.1290584069 -2.1840373110 504.4141401944
23.4912077412 28.1744303480 503.7615221513 24.1719708241 -2.7119896890 504.3484016648
23.1349673346 28.1744303480 503.6944221505 24.2125821873 -3.3062713683 504.2868741819
