# Tymkiw, N. J., “Measurements in a Compresssible Planar Shear Layer with a Thermal Gradient", M.S. Thesis, 2020.
# This work was funded by the NASA Aeronautics Mission Directorate's Transformative Aeronautics Concepts Program, Transformational Tools and Technologies Project; Grant Number NNX15AU94A.
VARIABLES = "x (mm)", "y (mm)", "T0 (K)", "(y-y0)/b", "(T0-T02)/(T01-T02)", "(y-Y0)/B", "(T-T1)/(T2-T1)"
ZONE T="Frame 0", I=1, J=152, F=POINT
204.9000000000 -25.0000490000 487.6221235673 -1.2747300832 0.9625488506 -1.1307044543 NaN
204.9000000000 -24.4999870000 487.9498959495 -1.2428286082 0.9642126698 -1.1075455017 NaN
204.9000000000 -24.0000230000 487.9306875642 -1.2109333852 0.9641151653 -1.0843910877 NaN
204.9000000000 -23.4999610000 488.6750986664 -1.1790319103 0.9678939019 -1.0612321351 NaN
204.9000000000 -22.9999980000 488.3937633434 -1.1471367510 0.9664658038 -1.0380777674 NaN
204.9000000000 -22.5000340000 487.5443375897 -1.1152415280 0.9621539979 -1.0149233534 NaN
204.9000000000 -21.9999720000 487.0896681446 -1.0833400531 0.9598460312 -0.9917644008 NaN
204.9000000000 -21.5000090000 487.4562847251 -1.0514448938 0.9617070291 -0.9686100331 NaN
204.9000000000 -21.0000450000 487.5844716142 -1.0195496708 0.9623577239 -0.9454556191 NaN
204.9000000000 -20.4999830000 487.2101704595 -0.9876481959 0.9604577181 -0.9222966665 NaN
204.9000000000 -20.0000200000 487.1508523960 -0.9557530366 0.9601566111 -0.8991422988 NaN
204.9000000000 -19.4999570000 486.5616277029 -0.9238514979 0.9571656229 -0.8759832998 NaN
204.9000000000 -18.9999940000 487.0157333139 -0.8919563387 0.9594707275 -0.8528289321 NaN
204.9000000000 -18.5000300000 485.9460199307 -0.8600611156 0.9540407103 -0.8296745181 NaN
204.9000000000 -17.9999680000 486.1372199442 -0.8281596407 0.9550112688 -0.8065155655 0.9720426772
204.9000000000 -17.5000050000 486.2539006891 -0.7962644815 0.9556035568 -0.7833611978 0.9724930671
204.9000000000 -17.0000410000 485.5721288263 -0.7643692584 0.9521427859 -0.7602067838 0.9703460030
204.9000000000 -16.4999790000 485.5775363154 -0.7324677835 0.9521702351 -0.7370478312 0.9704723059
204.9000000000 -16.0000160000 485.1886700134 -0.7005726243 0.9501962945 -0.7138934635 0.9693201348
204.9000000000 -15.4999530000 484.6561929979 -0.6686710855 0.9474933655 -0.6907344646 0.9677169628
204.9000000000 -14.9999900000 484.7141702776 -0.6367759263 0.9477876664 -0.6675800969 0.9678158138
204.9000000000 -14.7499590000 482.5825723985 -0.6208251888 0.9369673726 -0.6560006206 0.9604493212
204.9000000000 -14.5000270000 483.1359539131 -0.6048807671 0.9397764158 -0.6444257292 0.9629024064
204.9000000000 -14.2499950000 480.7593234542 -0.5889299658 0.9277123018 -0.6328462066 0.9547706769
204.9000000000 -13.9999640000 481.1097762373 -0.5729792283 0.9294912499 -0.6212667303 0.9565390087
204.9000000000 -13.7500320000 478.9101916187 -0.5570348066 0.9183258458 -0.6096918389 0.9489882933
204.9000000000 -13.5000010000 478.8873944134 -0.5410840691 0.9182101239 -0.5981123626 0.9496978245
204.9000000000 -13.2499700000 476.7336685524 -0.5251333316 0.9072775053 -0.5865328863 0.9423170052
204.9000000000 -13.0000380000 476.7626133219 -0.5091889099 0.9074244331 -0.5749579949 0.9431171188
204.9000000000 -12.7500060000 474.2228836738 -0.4932381086 0.8945324044 -0.5633784723 0.9344590386
204.9000000000 -12.4999750000 473.6082900665 -0.4772873711 0.8914126399 -0.5517989960 0.9334211927
204.9000000000 -12.2500430000 469.4701801867 -0.4613429494 0.8704070060 -0.5402241046 0.9196930037
204.9000000000 -12.0000120000 469.3307226045 -0.4453922119 0.8696990995 -0.5286446283 0.9201505584
204.9000000000 -11.7499800000 466.0251845475 -0.4294414106 0.8529197185 -0.5170651056 0.9090741055
204.9000000000 -11.5000480000 465.0849872556 -0.4134969889 0.8481471434 -0.5054902142 0.9070176056
204.9000000000 -11.2500170000 460.0897529712 -0.3975462514 0.8227906242 -0.4939107379 0.8903779976
204.9000000000 -10.9999860000 459.3918581932 -0.3815955139 0.8192480111 -0.4823312616 0.8893888177
204.9000000000 -10.7499550000 454.1032722850 -0.3656447765 0.7924023974 -0.4707517853 0.8719087075
204.9000000000 -10.5000230000 454.8707660285 -0.3497003547 0.7962983047 -0.4591768939 0.8757084040
204.9000000000 -10.2499910000 447.7446226708 -0.3337495534 0.7601249882 -0.4475973713 0.8521510532
204.9000000000 -9.9999600000 448.7946383933 -0.3177988160 0.7654550172 -0.4360178950 0.8568217390
204.9000000000 -9.7500280000 440.6775679032 -0.3018543942 0.7242516137 -0.4244430036 0.8303164122
204.9000000000 -9.4999970000 441.6261879044 -0.2859036567 0.7290669437 -0.4128635273 0.8346876269
204.9000000000 -9.2499660000 433.5962742373 -0.2699529193 0.6883059606 -0.4012840510 0.8084198688
204.9000000000 -9.0000340000 434.0449609684 -0.2540084975 0.6905835582 -0.3897091596 0.8112183832
204.9000000000 -8.7500020000 426.4570888121 -0.2380576962 0.6520664407 -0.3781296370 0.7865342852
204.9000000000 -8.4999710000 427.1377139638 -0.2221069588 0.6555213907 -0.3665501607 0.7897773151
204.9000000000 -8.2500390000 418.3797094397 -0.2061625370 0.6110645149 -0.3549752693 0.7611404831
204.9000000000 -8.0000080000 420.3869681707 -0.1902117995 0.6212536455 -0.3433957930 0.7689088708
204.9000000000 -7.7499770000 411.7611136706 -0.1742610621 0.5774675821 -0.3318163167 0.7406325329
204.9000000000 -7.5000450000 413.7037298621 -0.1583166403 0.5873285780 -0.3202414253 0.7482835535
204.9000000000 -7.2500130000 405.6226810310 -0.1423658390 0.5463080255 -0.3086619027 0.7219055544
204.9000000000 -6.9999820000 407.1360936514 -0.1264151016 0.5539903231 -0.2970824264 0.7278206267
204.9000000000 -6.7499510000 398.8759350310 -0.1104643641 0.5120605839 -0.2855029501 0.7002047160
204.9000000000 -6.5000190000 400.4648282566 -0.0945199423 0.5201260318 -0.2739280587 0.7062719990
204.9000000000 -6.2499880000 392.3943464465 -0.0785692049 0.4791591190 -0.2623485824 0.6789582981
204.9000000000 -5.9999560000 393.0524974503 -0.0626184036 0.4824999871 -0.2507690598 0.6823803553
204.9000000000 -5.7500240000 385.3102178883 -0.0466739818 0.4431990756 -0.2391941684 0.6579880532
204.9000000000 -5.4999930000 388.1784157180 -0.0307232444 0.4577584554 -0.2276146921 0.6665368968
204.9000000000 -5.2499620000 381.0675313474 -0.0147725069 0.4216625957 -0.2160352158 0.6437780210
204.9000000000 -5.0000300000 383.1751056113 0.0011719149 0.4323609422 -0.2044603244 0.6500129199
204.9000000000 -4.7499980000 374.2354428296 0.0171227161 0.3869819433 -0.1928808018 0.6210634629
204.9000000000 -4.4999670000 376.7454036454 0.0330734536 0.3997228611 -0.1813013255 0.6286327269
204.9000000000 -4.2500350000 367.8666383730 0.0490178754 0.3546529867 -0.1697264341 0.6001204267
204.9000000000 -4.0000040000 369.8929269541 0.0649686128 0.3649387155 -0.1581469578 0.6057119675
204.9000000000 -3.7499730000 363.9011002071 0.0809193503 0.3345233513 -0.1465674815 0.5858245304
204.9000000000 -3.5000410000 364.3922205995 0.0968637721 0.3370163482 -0.1349925901 0.5844372317
204.9000000000 -3.2500090000 359.0535250086 0.1128145733 0.3099163706 -0.1234130674 0.5664870868
204.9000000000 -2.9999780000 358.9987311987 0.1287653108 0.3096382294 -0.1118335911 0.5651123506
204.9000000000 -2.7500460000 354.4354427956 0.1447097326 0.2864743289 -0.1002586997 0.5492293700
204.9000000000 -2.5000150000 352.9233482657 0.1606604700 0.2787987222 -0.0886792234 0.5433294660
204.9000000000 -2.2499840000 350.3431961661 0.1766112075 0.2657015034 -0.0770997471 0.5328704548
204.9000000000 -1.9999520000 349.3110266642 0.1925620088 0.2604620643 -0.0655202245 0.5284538822
204.9000000000 -1.7500200000 346.6102740449 0.2085064305 0.2467526601 -0.0539453331 0.5176316702
204.9000000000 -1.4999890000 344.7428182278 0.2244571680 0.2372731890 -0.0423658568 0.5102937513
204.9000000000 -1.2499580000 342.0265445901 0.2404079055 0.2234849979 -0.0307863805 0.4990162596
204.9000000000 -1.0000260000 340.8505203001 0.2563523272 0.2175153315 -0.0192114891 0.4931150541
204.9000000000 -0.7499950000 338.8877185630 0.2723030647 0.2075518709 -0.0076320128 0.4849208898
204.9000000000 -0.4999630000 337.1150286307 0.2882538660 0.1985534448 0.0039475098 0.4772324155
204.9000000000 -0.2500310000 335.6692843709 0.3041982877 0.1912146415 0.0155224012 0.4668811050
204.9000000000 0.0000000000 333.7443472100 0.3201490252 0.1814433869 0.0271018775 0.4573256498
204.9000000000 0.2500310000 332.1321113828 0.3360997627 0.1732594486 0.0386813538 0.4494808973
204.9000000000 0.4999630000 330.5100213126 0.3520441844 0.1650254889 0.0502562452 0.4407538527
204.9000000000 0.7499950000 329.2259183371 0.3679949857 0.1585071997 0.0618357678 0.4332274728
204.9000000000 1.0000260000 327.3364023151 0.3839457232 0.1489157478 0.0734152441 0.4234682619
204.9000000000 1.2499580000 326.2746759663 0.3998901449 0.1435262739 0.0849901355 0.4176327169
204.9000000000 1.4999890000 324.5739176698 0.4158408824 0.1348929831 0.0965696118 0.4071056050
204.9000000000 1.7500200000 323.6003937591 0.4317916199 0.1299512374 0.1081490881 0.4009036793
204.9000000000 1.9999520000 321.4714130161 0.4477360416 0.1191442285 0.1197239795 0.3890748917
204.9000000000 2.2499840000 321.0306449286 0.4636868429 0.1169068270 0.1313035021 0.3844403617
204.9000000000 2.5000150000 318.9082642228 0.4796375804 0.1061333209 0.1428829784 0.3719617495
204.9000000000 2.7500460000 318.0245060156 0.4955883179 0.1016472387 0.1544624547 0.3658592796
204.9000000000 2.9999780000 316.8514809403 0.5115327396 0.0956927967 0.1660373461 0.3507602957
204.9000000000 3.2500090000 315.3093575939 0.5274834771 0.0878647594 0.1776168224 0.3421510291
204.9000000000 3.5000410000 315.1426450626 0.5434342784 0.0870185029 0.1891963450 0.3349873528
204.9000000000 3.7499730000 313.5479799726 0.5593787001 0.0789237562 0.2007712364 0.3254482390
204.9000000000 4.0000040000 313.5175391783 0.5753294376 0.0787692344 0.2123507127 0.3181563081
204.9000000000 4.2500350000 312.2496181274 0.5912801751 0.0723330869 0.2239301890 0.3100526071
204.9000000000 4.4999670000 311.5726435764 0.6072245968 0.0688966679 0.2355050804 0.3004831743
204.9000000000 4.7499980000 310.9664299172 0.6231753343 0.0658194412 0.2470845567 0.2934624808
204.9000000000 5.0000300000 310.2200704436 0.6391261356 0.0620308144 0.2586640794 0.2840083244
204.9000000000 5.2499620000 309.1719970085 0.6550705573 0.0567106447 0.2702389708 0.2759826874
204.9000000000 5.4999930000 308.7112867359 0.6710212948 0.0543720139 0.2818184471 0.2664491065
204.9000000000 5.7500240000 308.2483187420 0.6869720323 0.0520219225 0.2933979234 0.2602256561
204.9000000000 5.9999560000 307.5281045747 0.7029164540 0.0483660131 0.3049728148 0.2493999044
204.9000000000 6.2499870000 306.4086949175 0.7188671915 0.0426837305 0.3165522911 0.2338537974
204.9000000000 6.5000190000 306.3256313986 0.7348179928 0.0422620883 0.3281318137 0.2254588359
204.9000000000 6.7499510000 305.0967560118 0.7507624145 0.0360241422 0.3397067051 0.2161580361
204.9000000000 6.9999820000 305.1468106201 0.7667131520 0.0362782265 0.3512861814 0.2080567840
204.9000000000 7.2500130000 304.8626463482 0.7826638895 0.0348357683 0.3628656577 0.2011013927
204.9000000000 7.5000450000 304.3618253024 0.7986146907 0.0322935295 0.3744451803 0.1908870957
204.9000000000 7.7499770000 303.7038932019 0.8145591125 0.0289537726 0.3860200717 0.1826157384
204.9000000000 8.0000080000 303.5005719109 0.8305098500 0.0279216848 0.3975995480 0.1729168305
204.9000000000 8.2500390000 303.4187495512 0.8464605874 0.0275063429 0.4091790243 0.1658079384
204.9000000000 8.4999710000 302.7581379596 0.8624050092 0.0241529846 0.4207539157 0.1553807095
204.9000000000 8.7500020000 301.9217172968 0.8783557467 0.0199071944 0.4323333920 0.1468474626
204.9000000000 9.0000340000 301.9697852744 0.8943065479 0.0201511943 0.4439129146 0.1387334279
204.9000000000 9.2499660000 301.6600423393 0.9102509697 0.0185788951 0.4554878060 0.1319752882
204.9000000000 9.4999970000 301.3187807919 0.9262017072 0.0168466030 0.4670672823 0.1221293238
204.9000000000 9.7500280000 300.8602699978 0.9421524446 0.0145191370 0.4786467586 0.1087749175
204.9000000000 9.9999600000 300.6413105232 0.9580968664 0.0134076676 0.4902216500 0.1004546124
204.9000000000 10.5000230000 300.3489308786 0.9899984051 0.0119235070 0.5133806489 0.0866848818
204.9000000000 10.9999860000 299.6746639864 1.0218935644 0.0085008324 0.5365350166 0.0728833676
204.9000000000 11.5000480000 299.4780533347 1.0537950393 0.0075028088 0.5596939692 0.0611284157
204.9000000000 12.0000120000 298.8870405094 1.0856902623 0.0045027437 0.5828483832 0.0494254309
204.9000000000 12.4999750000 298.6382213976 1.1175854216 0.0032397025 0.6060027509 0.0403308879
204.9000000000 13.0000370000 298.1509940948 1.1494868965 0.0007664675 0.6291617035 0.0314334059
